game_id,year_id,date_game,seasongame,is_playoffs,team_id,fran_id,opp_id,opp_fran,elo_i,opp_elo_i,game_result
199911160TOR,2000,11/16/1999,7,0,TOR,Raptors,DET,Pistons,1500.6479,1535.2976,W
199911160WAS,2000,11/16/1999,8,0,WAS,Wizards,PHI,Sixers,1400.4528,1534.4519,L
199911170BOS,2000,11/17/1999,8,0,BOS,Celtics,CLE,Cavaliers,1477.3732,1488.8599,W
199911170CHH,2000,11/17/1999,9,0,CHH,Pelicans,DAL,Mavericks,1545.7062,1462.4683,W
199911170DET,2000,11/17/1999,9,0,DET,Pistons,NJN,Nets,1530.4048,1414.5208,W
199911170MIN,2000,11/17/1999,5,0,MIN,Timberwolves,LAC,Clippers,1495.2388,1323.2561,L
199911170ORL,2000,11/17/1999,9,0,ORL,Magic,POR,Trailblazers,1530.0101,1614.6195,L
199911170PHI,2000,11/17/1999,9,0,PHI,Sixers,MIA,Heat,1549.8356,1594.0194,L
199911170PHO,2000,11/17/1999,9,0,PHO,Suns,CHI,Bulls,1535.333,1349.2335,W
199911170SEA,2000,11/17/1999,9,0,SEA,Thunder,GSW,Warriors,1524.3599,1400.9471,W
199911170UTA,2000,11/17/1999,8,0,UTA,Jazz,NYK,Knicks,1588.6328,1588.9025,W
199911180DEN,2000,11/18/1999,8,0,DEN,Nuggets,LAL,Lakers,1336.4402,1579.7738,W
199911180HOU,2000,11/18/1999,10,0,HOU,Rockets,SAC,Kings,1485.5002,1499.572,L
199911180MIL,2000,11/18/1999,9,0,MIL,Bucks,SAS,Spurs,1537.712,1708.3865,W
199911180VAN,2000,11/18/1999,8,0,VAN,Grizzlies,SEA,Thunder,1303.7931,1526.4137,L
199911180WAS,2000,11/18/1999,9,0,WAS,Wizards,TOR,Raptors,1385.0691,1505.5408,W
199911190BOS,2000,11/19/1999,9,0,BOS,Celtics,NJN,Nets,1485.0918,1412.6752,W
199911190DAL,2000,11/19/1999,10,0,DAL,Mavericks,SAC,Kings,1459.2975,1519.8911,L
199911190DET,2000,11/19/1999,10,0,DET,Pistons,CLE,Cavaliers,1532.2504,1481.1412,W
199911190IND,2000,11/19/1999,9,0,IND,Pacers,ATL,Hawks,1625.1639,1493.2552,L
199911190LAL,2000,11/19/1999,11,0,LAL,Lakers,CHI,Bulls,1562.4778,1344.3381,W
199911190MIN,2000,11/19/1999,6,0,MIN,Timberwolves,UTA,Jazz,1481.8666,1594.6918,W
199911190ORL,2000,11/19/1999,10,0,ORL,Magic,CHH,Pelicans,1524.9015,1548.877,L
199911190PHI,2000,11/19/1999,10,0,PHI,Sixers,POR,Trailblazers,1541.2959,1619.7281,L
199911190PHO,2000,11/19/1999,10,0,PHO,Suns,NYK,Knicks,1540.2284,1582.8435,W
199911190TOR,2000,11/19/1999,9,0,TOR,Raptors,LAC,Clippers,1493.6873,1336.6283,W
199911200ATL,2000,11/20/1999,10,0,ATL,Hawks,ORL,Magic,1508.2876,1510.6517,L
199911200CHH,2000,11/20/1999,11,0,CHH,Pelicans,POR,Trailblazers,1563.1267,1628.0845,L
199911200CLE,2000,11/20/1999,9,0,CLE,Cavaliers,IND,Pacers,1475.3396,1610.1316,L
